label,text,scenario,tactic_primary,entities,notes
Ham,daren bp invoiced hpl at escapenumber escapenumber for the deal below and sitara shows escapenumber escapenumber can you please verify the pricing thanks,FINANCE_TRADING,null,0:5:PERSON;6:8:ORG;18:21:ORG;69:75:PERSON,
Ham,on march escapenumber martin lin will be participating in a panel discussion with dick o ' neill of ferc a rep of morgan stanley and ed cazalet of apx on market turmoil trading and risk management harvard electricity group at the present time except in several limited regions marketers do not have the ability to hedge transmission risk by reselling it above cost last year we approached dick o ' neill ' s staff about the possibility of lifting the cap on resales of transmission but they were not inclined to proceed absent the use of certain restrictions there have been several recent developments in power and gas as discussed in the attached memo it would be helpful for martin to discuss these recent orders as necessary in order to attempt to gain support from dick o ' neill for the idea of lifting the cap for power after martin ' s discussion we should consider reapproaching ferc to seek approval,LEGAL_REGULATORY,null,24:34:PERSON;77:90:PERSON;97:101:ORG:REGULATOR;111:125:ORG;130:140:PERSON;144:147:ORG;185:210:ORG;707:711:ORG:REGULATOR,
Ham,greg our copel shares are falling in value we have never marked this investment even though it is public we currently own adr ' s elp is the ticker we are restricted i think in selling until july at the current price we would lose escapenumber to escapenumber million original message from gorny vladimir sent monday april escapenumber escapenumber escapenumber escapenumber am to lavorato john subject copel copel is trading at escapenumber escapenumber down over escapenumber escapenumber from thursday close the rumor is that this is the aftershock of a escapenumber mm block trade last week,FINANCE_TRADING,null,0:4:PERSON;330:345:PERSON;381:394:PERSON;77:82:ORG;132:135:ID,
Ham,who knows if this is true mike triem na ipaq displays business planning escapenumber escapenumber escapenumber subject escapenumber p bill charge for e mail vote no on bill escapenumber p i guess the warnings were true federal bill escapenumber p escapenumber cents per e mail sent it figures no more free e mail we knew this was coming bill escapenumber p willpermit the federal government to charge a escapenumber cent charge on every deliverede mail please read the following carefully if you intend to stay online and continue using e mail the last few months have revealed an alarming trendin the government of the united states attempting to quietly push throughlegislation that will affect our use of the internet under proposed legislation the us postal service will be attempting to bille mail users out of alternative postage fees bill escapenumber p will permit thefederal government to charge a escapenumber cent surcharge on every e mail delivered by billing internet service providers at source the consumer would then bebilled in turn by the isp washington dc lawyer richard stepp is working without pay to prevent thislegislation from becoming law the us postal service is claiming lost revenue due to the proliferation of e mail is costing nearly escapenumber escapenumber escapenumber in revenue per year you may have noticed their recent ad campaign there is nothing like a letter since the average person received about escapenumber pieces of e mail per day in escapenumber the cost of the typical individual would be an additional escapenumber cents a day or over escapenumber per year above and beyond their regular internet costs note that this would be money paid directly to the us postal service for a service they do not even provide the whole point of the internet is democracy and noninterference you are already paying an exorbitant price for snail mail because of bureaucratic efficiency it currently takes up to escapenumber days for a letter to be delivered from coast to coast if the us postal service is allowed to tinker with e mail it will mark the end of the free internet in the united states our congressional representative tony schnell r has even suggested a escapenumber escapenumber per month surcharge on all internet service above and beyond the governments proposed e mail charges note that most of the major newspapers have ignored the story and the only exception being the washingtonian which called the idea of e mail surcharge a useful concept who ' s time has come march escapenumber th escapenumber editorial do not sit by and watch your freedom erode away send this to e mail to everyone on your list and tell all your friends and relatives write their congressional representative and say no to bill escapenumber p it will only take a few moments of your time and could very well be instrumental in killing a bill we do not want please forward,LEGAL_REGULATORY,URGENCY,39:49:PERSON;343:361:ORG;658:676:ORG;707:720:PERSON;1194:1208:ORG,
Ham,vince the following information is missing from your employee profile which will be used at the md prc meeting on escapenumber escapenumber escapenumber current responsibilities previous experience at enron please go into your gis file and update by end of business day monday july escapenumber st if you have any questions or problems getting into your file please call kathy schultea at ext escapenumber thank you,HR_RECRUITING,AUTHORITY,0:5:PERSON;139:144:ORG;237:240:SYSTEM_NAME;337:349:PERSON;365:375:PHONE,
Ham,per our phone conversation reliant requests to continue its use of contract escapenumber capacity for the period escapenumber escapenumber escapenumber escapenumber escapenumber terms of this arrangement will be the same as december ' s,FINANCE_TRADING,null,21:28:ORG;48:57:ID,
Ham,i organized our thoughts from yesterday into an outline we can follow this also gives us a place to start to record our facts assumptions as we identify them i moved the document into o energy ops opm hours survey for now so we can all access,OTHER,null,28:37:DATE,
Ham,bob shults is scheduled to be in atlanta ga on the escapenumber th of march and would like to reschedule the customer profiling meeting to friday march escapenumber th at escapenumber escapenumber p m location to be announced if you are unable to attend please let me know lydia escapenumber escapenumber,HR_RECRUITING,null,0:10:PERSON;31:41:LOCATION;116:121:DATE;125:136:TIME;176:181:PERSON,
Ham,spring escapenumber faculty the spring escapenumber schematic has been posted to embanet to access the schematic please open the jgsm area icon on the embanet desktop next please open the announcement jgsm icon you will find the spring escapenumber schematic located under the subject column please open the document if you do not have access to embanet you will need to speak with david kilgore at kilgore rice edu or by calling david at escapenumber escapenumber escapenumber thanks kathy kathy m spradling mba program coordinator jesse h jones graduate school of management rice university escapenumber main street ms escapenumber houston texas escapenumber escapenumber phone escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber email spradlin rice edu http www rice edu jgs e mail spradlin rice edu http www ruf rice edu jgs,HR_RECRUITING,HELPFUL_SERVICE,51:58:SYSTEM_NAME;163:170:SYSTEM_NAME;353:365:PERSON;366:382:EMAIL;470:482:PERSON;491:511:ORG;525:533:LOCATION;535:540:LOCATION;712:733:EMAIL;736:757:URL;760:782:EMAIL;785:807:URL,
Ham,sally i ' ll be there and look forward to the event is there an agenda i wonder when it all starts on the sunday i plan to fly out on the sunday and go back on thursday morning so i can spend a few days at the office as well regards jan erland sent by patti thompson ect to mike jordan lon ect ect james new lon ect ect mike wellings lon ect ect coralie evans lon ect ect robert yeo lon ect ect paul d ' arcy lon ect ect david a wall risk mgmt lon ect ect andrew cornfield lon ect ect cindy horn lon ect ect jeffrey c gossett hou ect ect leslie reeves hou ect ect bob m hall na enron enron stacey w white hou ect ect peggy hedstrom cal ect ect brenda f herod hou ect ect brent a price hou ect ect scott earnest hou ect ect d todd hall hou ect ect sheila glover hou ect ect kevin sweeney hou ect ect fernley dyson lon ect ect heidi mason enron development enron development jan erland bekeng ap enron enron scott mills hou ect ect barry pearce enron communications enron communications kristin albrecht enron communications enron communications wanda curry hou ect ect meredith m eggleston hou ees ees shona wilson na enron enron eugenio perez hou ect ect michael e moscoso hou ect ect neil tarling enron communications enron communications cc subject global operations controller forum please fill in the following information and email or fax escapenumber escapenumber escapenumber to me as soon as possible the same day would be great please select dinner entr e for sunday oct escapenumber pan seared medallions of black angus tenderloin or yes grilled chicken breast w artichoke mushrooms light herb sauce hotel reservation both sunday and monday nights yes sunday night only monday night only extend for additional nights also tuesday and wednesday nights smoking or non smoking room no smoking flight information date of arrival escapenumber nd october airline flight number ual escapenumber houston arrival time escapenumber escapenumber pm shirt size women ' s or men ' s size men ' s size small med large x large xx large medium thanks patti x escapenumber,HR_RECRUITING,URGENCY,0:5:PERSON;228:239:PERSON;263:274:PERSON;292:304:PERSON;322:336:PERSON;354:364:PERSON;382:397:PERSON;415:429:PERSON;447:463:PERSON;481:491:PERSON;509:528:PERSON;546:559:PERSON;577:589:PERSON;607:622:PERSON;640:654:PERSON;672:688:PERSON;706:720:PERSON;738:751:PERSON;769:783:PERSON;801:815:PERSON;833:846:PERSON;864:878:PERSON;896:908:PERSON;926:947:PERSON;965:987:PERSON;1005:1020:PERSON;1038:1058:PERSON;1076:1095:PERSON;1113:1126:PERSON;1144:1163:PERSON;1181:1199:PERSON;1217:1240:PERSON;1258:1279:PERSON;1297:1315:PERSON,
